sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,label
48,74,100,100,100,100,100,100,100,100,100,100,100,64,46,38,32,30,28,28,30,32,36,32,28,26,24,24,26,28,30,36,0
100,100,100,100,100,100,100,100,100,70,52,42,36,34,32,32,32,36,40,34,30,26,26,26,26,28,32,38,50,76,100,100,0
100,100,100,100,100,100,100,100,68,52,42,38,36,34,34,36,40,40,34,30,28,26,26,28,30,36,44,60,100,100,100,100,0
100,100,100,100,100,100,100,100,72,56,46,40,38,36,36,38,42,42,36,32,30,28,28,30,32,38,46,62,100,100,100,100,0
100,100,100,100,100,100,100,100,78,60,50,44,40,40,40,42,46,44,38,34,30,30,30,32,34,40,48,66,100,100,100,100,0
100,100,100,100,100,100,100,100,82,64,52,46,44,42,42,44,48,46,40,34,32,32,32,32,36,42,50,70,100,100,100,100,0
100,100,100,100,100,100,100,100,88,66,56,50,46,44,44,46,52,50,42,36,34,32,34,34,38,44,54,72,100,100,100,100,0
100,100,100,100,100,100,100,100,94,70,60,52,48,48,48,50,54,52,42,38,36,34,34,36,40,46,56,76,100,100,100,100,0
100,100,100,100,100,100,100,100,98,74,62,56,52,50,50,52,58,54,44,40,38,36,36,38,42,48,58,80,100,100,100,100,0
100,100,100,100,100,100,100,100,100,78,66,58,54,52,52,56,60,56,46,42,38,38,38,40,42,50,60,84,100,100,100,100,0
100,100,100,100,100,100,100,100,100,82,68,62,56,54,56,58,64,58,48,44,40,38,40,40,44,52,64,86,100,100,100,100,0
100,100,100,100,100,100,100,100,100,86,72,64,60,58,58,60,66,60,50,44,42,40,40,42,46,54,66,90,100,100,100,100,0
100,100,100,100,100,100,96,78,68,62,60,60,62,66,70,56,50,46,44,42,44,48,54,64,84,100,100,100,100,100,100,100,0
100,100,94,78,68,62,58,58,60,64,74,60,52,48,46,46,48,50,58,68,90,100,100,100,100,100,100,100,100,100,100,100,0
100,100,94,76,66,60,58,58,60,64,72,64,56,52,50,48,50,54,62,74,96,100,100,100,100,100,100,100,100,100,100,100,0
100,100,92,76,66,60,58,56,58,64,72,68,60,54,52,52,54,58,64,78,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,92,74,64,58,56,56,58,62,70,72,62,58,54,54,56,60,68,82,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,90,72,64,58,56,56,58,62,70,76,66,60,58,58,60,64,72,86,100,100,100,100,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,92,74,66,60,58,56,58,62,72,80,70,64,60,60,62,66,76,90,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,94,76,66,62,58,58,60,64,72,82,72,66,64,62,64,70,78,94,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,98,78,68,62,60,60,62,66,74,86,76,68,66,66,68,72,82,98,100,100,100,100,100,100,100,100,0
100,100,100,100,100,100,100,80,70,64,62,62,64,68,76,90,78,72,68,68,70,76,86,100,100,100,100,100,100,100,100,100,0
